event_timestamp,epoch_timestamp,message,timestamp_description,threat_type,threat_level,,,
2020-05-12T07:27:01,1589248621,iphlpsvc,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,LanmanServer,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,WdiServiceHost,Process Created,Process,None,,,
2020-05-12T07:27:01,1589248621,WdiSystemHost,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,NlaSvc,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,mpssvc,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,Wcmsvc,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,ShellHWDetection,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,nsi,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,Dhcp,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,Audiosrv,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,LanmanWorkstation,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,Dnscache,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,StateRepository,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,DusmSvc,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,BFE,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,spoolsv.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,WinHttpAutoProxySvc,Process Created,Process,None,,,
2020-05-12T07:27:00,1589248620,netprofm,Process Created,Process,None,,,
