Name,Threat Type,Threat Level,User Comment,Path,Creation Time,Is Service,PID,PPID,Malware Scan
WarpJITSvc,Process,None,,windows/system32/windows.warp.jitservice.dll,5/12/20 7:28:12 AM IST,true,6204,676 (services.exe),(UNKNOWN) Malware scanning disabled.
WdiServiceHost,Process,None,,windows/system32/wdi.dll,5/12/20 7:27:01 AM IST,true,2872,676 (services.exe),(UNKNOWN) Malware scanning disabled.
DeviceAssociationService,Process,None,,windows/system32/das.dll,5/12/20 7:42:38 AM IST,true,1068,676 (services.exe),(UNKNOWN) Malware scanning disabled.
NcbService,Process,None,,windows/system32/ncbservice.dll,5/12/20 7:26:59 AM IST,true,600,676 (services.exe),(UNKNOWN) Malware scanning disabled.
DcomLaunch,Process,None,,windows/system32/rpcss.dll,5/12/20 7:26:59 AM IST,true,884,676 (services.exe),(UNKNOWN) Malware scanning disabled.
LanmanServer,Process,None,,windows/system32/srvsvc.dll,5/12/20 7:27:01 AM IST,true,2752,676 (services.exe),(UNKNOWN) Malware scanning disabled.
WinHttpAutoProxySvc,Process,None,,windows/system32/winhttp.dll,5/12/20 7:27:00 AM IST,true,2116,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SystemEventsBroker,Process,None,,windows/system32/systemeventsbrokerserver.dll,5/12/20 7:26:59 AM IST,true,884,676 (services.exe),(UNKNOWN) Malware scanning disabled.
CDPUserSvc_46576,Process,None,,,5/12/20 7:27:54 AM IST,true,4816,676 (services.exe),
RpcSs,Process,None,,windows/system32/rpcss.dll,5/12/20 7:26:59 AM IST,true,960,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Dnscache,Process,None,,windows/system32/dnsrslvr.dll,5/12/20 7:27:00 AM IST,true,1980,676 (services.exe),(UNKNOWN) Malware scanning disabled.
PimIndexMaintenanceSvc_46576,Process,None,,,5/12/20 7:29:21 AM IST,true,3776,676 (services.exe),
TokenBroker,Process,None,,windows/system32/tokenbroker.dll,5/12/20 7:27:55 AM IST,true,5004,676 (services.exe),(UNKNOWN) Malware scanning disabled.
BthAvctpSvc,Process,None,,windows/system32/bthavctpsvc.dll,5/12/20 7:29:24 AM IST,true,1716,676 (services.exe),(UNKNOWN) Malware scanning disabled.
EventSystem,Process,None,,windows/system32/es.dll,5/12/20 7:26:59 AM IST,true,1436,676 (services.exe),(UNKNOWN) Malware scanning disabled.
DusmSvc,Process,None,,windows/system32/dusmsvc.dll,5/12/20 7:27:00 AM IST,true,1912,676 (services.exe),(UNKNOWN) Malware scanning disabled.
lfsvc,Process,None,,windows/system32/lfsvc.dll,5/12/20 7:29:49 AM IST,true,376,676 (services.exe),(UNKNOWN) Malware scanning disabled.
LicenseManager,Process,None,,windows/system32/licensemanagersvc.dll,5/12/20 7:32:23 AM IST,true,6664,676 (services.exe),(UNKNOWN) Malware scanning disabled.
WpnService,Process,None,,,5/12/20 7:27:01 AM IST,true,2780,676 (services.exe),
ProfSvc,Process,None,,windows/system32/profsvc.dll,5/12/20 7:26:59 AM IST,true,1112,676 (services.exe),(UNKNOWN) Malware scanning disabled.
BFE,Process,None,,windows/system32/bfe.dll,5/12/20 7:27:00 AM IST,true,2380,676 (services.exe),(UNKNOWN) Malware scanning disabled.
stisvc,Process,None,,windows/system32/wiaservc.dll,5/12/20 7:42:38 AM IST,true,5424,676 (services.exe),(UNKNOWN) Malware scanning disabled.
StateRepository,Process,None,,,5/12/20 7:27:00 AM IST,true,1904,676 (services.exe),
StorSvc,Process,None,,windows/system32/storsvc.dll,5/12/20 7:28:04 AM IST,true,5608,676 (services.exe),(UNKNOWN) Malware scanning disabled.
SENS,Process,None,,windows/system32/sens.dll,5/12/20 7:26:59 AM IST,true,1600,676 (services.exe),(UNKNOWN) Malware scanning disabled.
TabletInputService,Process,None,,windows/system32/tabsvc.dll,5/12/20 7:27:55 AM IST,true,5108,676 (services.exe),(UNKNOWN) Malware scanning disabled.
TimeBrokerSvc,Process,None,,windows/system32/timebrokerserver.dll,5/12/20 7:26:59 AM IST,true,1444,676 (services.exe),(UNKNOWN) Malware scanning disabled.
Appinfo,Process,None,,windows/system32/appinfo.dll,5/12/20 7:28:10 AM IST,true,5560,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,816,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:54 AM IST,false,4852,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:42:38 AM IST,false,5424,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:27:00 AM IST,false,1912,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:42:38 AM IST,false,1068,676 (services.exe),(UNKNOWN) Malware scanning disabled.
dllhost.exe,Process,None,,Windows/System32/dllhost.exe,5/12/20 7:27:59 AM IST,false,5212,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
SearchIndexer.,Process,None,,Windows/System32/SearchIndexer.exe,5/12/20 7:28:05 AM IST,true,5972,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:38:04 AM IST,false,1188,676 (services.exe),(UNKNOWN) Malware scanning disabled.
System,Process,None,,,5/12/20 7:26:41 AM IST,false,4,0 (<not-found>),
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:29:49 AM IST,false,376,676 (services.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:26:59 AM IST,false,1112,676 (services.exe),(UNKNOWN) Malware scanning disabled.
userinit.exe,Process,None,,Windows/System32/userinit.exe,5/12/20 7:27:55 AM IST,false,3808,632 (winlogon.exe),(UNKNOWN) Malware scanning disabled.
tor.exe,Process,None,,Users/Ashish/Desktop/Tor Browser/Browser/TorBrowser/Tor/tor.exe,5/12/20 7:48:23 AM IST,false,4620,4108 (firefox.exe),(UNKNOWN) Malware scanning disabled.
svchost.exe,Process,None,,Windows/System32/svchost.exe,5/12/20 7:29:21 AM IST,false,3776,676 (services.exe),(UNKNOWN) Malware scanning disabled.
OneDrive.exe,Process,Suspicious. Run from App Data,,Users/Ashish/AppData/Local/Microsoft/OneDrive/OneDrive.exe,5/12/20 7:28:27 AM IST,false,1072,1140 (explorer.exe),(UNKNOWN) Malware scanning disabled.
MicrosoftEdgeC,Process,None,,Windows/System32/MicrosoftEdgeCP.exe,5/12/20 7:44:32 AM IST,false,4112,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
WmiPrvSE.exe,Process,None,,Windows/System32/wbem/WmiPrvSE.exe,5/12/20 7:47:50 AM IST,false,7580,884 (svchost.exe),(UNKNOWN) Malware scanning disabled.
